provider	category	event_id	version	event(fields)	event_type	description
Active Directory Domain Services: SAM	{0254ba6d-7ff0-4bfe-a3f9-8fd8da667641}	1	0	SamSetMemAttrsOfGrp_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Set Member Attributes Of Group
Active Directory Domain Services: SAM	{0254ba6d-7ff0-4bfe-a3f9-8fd8da667641}	2	0	SamSetMemAttrsOfGrp_End()	End	SAM Set Member Attributes Of Group
Active Directory Domain Services: SAM	{07ffaa1d-34f6-49cd-b541-2f0d7dff15c4}	1	0	SamEnumUsersInDom_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Enumerate Users In Domain
Active Directory Domain Services: SAM	{07ffaa1d-34f6-49cd-b541-2f0d7dff15c4}	2	0	SamEnumUsersInDom_End()	End	SAM Enumerate Users In Domain
Active Directory Domain Services: SAM	{0e3913c5-9760-4ced-b133-004a64e8d53c}	1	0	SamGetGrpsForUser_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Get Groups For User
Active Directory Domain Services: SAM	{0e3913c5-9760-4ced-b133-004a64e8d53c}	2	0	SamGetGrpsForUser_End()	End	SAM Get Groups For User
Active Directory Domain Services: SAM	{19b30cde-3e41-4cff-83c8-3df2779f840c}	1	0	SamChangePwdComputer_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Change Password Computer
Active Directory Domain Services: SAM	{19b30cde-3e41-4cff-83c8-3df2779f840c}	2	0	SamChangePwdComputer_End()	End	SAM Change Password Computer
Active Directory Domain Services: SAM	{1cf5fd19-1ac1-4324-84f7-970a634a91ee}	1	0	SamGetAliasMem_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Get Alias Membership
Active Directory Domain Services: SAM	{1cf5fd19-1ac1-4324-84f7-970a634a91ee}	2	0	SamGetAliasMem_End()	End	SAM Get Alias Membership
Active Directory Domain Services: SAM	{1f228de8-8a6c-11d2-819e-0000f875a064}	1	0	SamPwdPushPdc_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Password Push PDC
Active Directory Domain Services: SAM	{1f228de8-8a6c-11d2-819e-0000f875a064}	2	0	SamPwdPushPdc_End()	End	SAM Password Push PDC
Active Directory Domain Services: SAM	{25059476-899f-11d2-819e-0000f875a064}	1	0	SamNameById_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Name By Id
Active Directory Domain Services: SAM	{25059476-899f-11d2-819e-0000f875a064}	2	0	SamNameById_End()	End	SAM Name By Id
