provider	category	event_id	version	event(fields)	event_type	description
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	32	2	HeapCreate_V2(UInt32 HeapHandle, UInt32 HeapFlags)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	32	3	HeapCreate(UInt32 HeapHandle, UInt32 HeapFlags, Object ReservedSpace, Object CommittedSpace, Object AllocatedSpace)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	33	2	HeapAlloc(UInt32 HeapHandle, Object AllocSize, UInt32 AllocAddress, UInt32 SourceId)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	34	2	HeapRealloc(UInt32 HeapHandle, UInt32 NewAllocAddress, UInt32 OldAllocAddress, Object NewAllocSize, Object OldAllocSize, UInt32 SourceId)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	35	2	Heap_TypeGroup1(UInt32 HeapHandle)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	36	2	HeapFree(UInt32 HeapHandle, UInt32 FreeAddress, UInt32 SourceId)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	37	3	HeapExpand(UInt32 HeapHandle, Object CommittedSize, UInt32 CommitAddress, Object FreeSpace, Object CommittedSpace, Object ReservedSpace, UInt32 NoOfUCRs, Object AllocatedSpace)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	38	2	HeapSnapShot_V2(UInt32 HeapHandle, Object FreeSpace, Object CommittedSpace, Object ReservedSpace, UInt32 HeapFlags, UInt32 ProcessId, Object LargeUCRSpace, UInt32 FreeListLength, UInt32 UCRLength)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	38	3	HeapSnapShot(UInt32 HeapHandle, Object FreeSpace, Object CommittedSpace, Object ReservedSpace, UInt32 HeapFlags, UInt32 ProcessId, Object LargeUCRSpace, UInt32 FreeListLength, UInt32 UCRLength, Object AllocatedSpace)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	42	3	HeapContract(UInt32 HeapHandle, Object DeCommittedSize, UInt32 DeCommitAddress, Object FreeSpace, Object CommittedSpace, Object ReservedSpace, UInt32 NoOfUCRs, Object AllocatedSpace)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	43	2	Heap_TypeGroup1(UInt32 HeapHandle)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	44	2	Heap_TypeGroup1(UInt32 HeapHandle)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	45	2	Heap_TypeGroup1(UInt32 HeapHandle)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	46	2	Heap_TypeGroup1(UInt32 HeapHandle)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	47	2	Heap_SubsegmentGroup(UInt32 HeapHandle, UInt32 SubSegment, Object SubSegmentSize, Object BlockSize)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	48	2	Heap_SubsegmentGroup(UInt32 HeapHandle, UInt32 SubSegment, Object SubSegmentSize, Object BlockSize)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	49	2	Heap_SubsegmentGroup(UInt32 HeapHandle, UInt32 SubSegment, Object SubSegmentSize, Object BlockSize)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	50	2	Heap_SubsegmentGroup(UInt32 HeapHandle, UInt32 SubSegment, Object SubSegmentSize, Object BlockSize)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	51	2	HeapCommitDecommit(UInt32 HeapHandle, UInt32 Block, Object Size, UInt32 Caller)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	52	2	HeapCommitDecommit(UInt32 HeapHandle, UInt32 Block, Object Size, UInt32 Caller)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	53	2	HeapSubsegmentInitialize(UInt32 HeapHandle, UInt32 SubSegment, Object BlockSize, Object BlockCount, UInt32 AffinityIndex)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	54	2	HeapAffinityManagerEnable(UInt32 HeapHandle, UInt32 BucketIndex)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	55	2	HeapAffinitySlotAssigned(UInt32 SlotIndex)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	56	2	HeapSubSegmentActivated(UInt32 HeapHandle, UInt32 SubSegment)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	57	2	HeapAffinitySlotChanged(UInt32 Heap, UInt32 SubSegment, UInt32 SlotIndex)		
Heap Trace Provider	{222962ab-6180-4b88-a825-346b75f2a24a}	58	2	HeapSubsegmentReuseThresholdActivated(UInt32 Heap, UInt32 SubSegment, UInt32 BucketIndex)		
