provider	category	event_id	version	event(fields)	event_type	description
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	32	2	TP_V2_CBEnqueue(UInt32 PoolId, UInt32 TaskId, UInt32 CallbackFunction, UInt32 CallbackContext, UInt32 SubProcessTag)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	33	2	TP_V2_CBDequeue(UInt32 TaskId)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	33	3	TPCBDequeue(UInt32 PoolId, UInt32 TaskId, UInt32 CallbackFunction, UInt32 CallbackContext, UInt32 SubProcessTag)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	34	2	TP_V2_CBEnqueue(UInt32 PoolId, UInt32 TaskId, UInt32 CallbackFunction, UInt32 CallbackContext, UInt32 SubProcessTag)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	35	2	TP_V2_CBDequeue(UInt32 TaskId)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	35	3	TPCBDequeue(UInt32 PoolId, UInt32 TaskId, UInt32 CallbackFunction, UInt32 CallbackContext, UInt32 SubProcessTag)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	36	2	TP_V2_CBCancel(UInt32 TaskId, UInt32 CancelCount)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	36	3	TPCBCancel(UInt32 PoolId, UInt32 TaskId, UInt32 CallbackFunction, UInt32 CallbackContext, UInt32 SubProcessTag, UInt32 CancelCount)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	37	2	TP_V2_PoolCreateClose(UInt32 PoolId)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	38	2	TP_V2_PoolCreateClose(UInt32 PoolId)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	39	2	TP_V2_ThreadSet(UInt32 PoolId, UInt32 ThreadNum)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	40	2	TP_V2_ThreadSet(UInt32 PoolId, UInt32 ThreadNum)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	41	2	TP_V2_WTNodeSwitch(UInt32 PoolId, UInt32 CurrentNode, UInt32 NextNode, UInt16 CurrentGroup, UInt16 NextGroup, UInt32 CurrentWorkerCount, UInt32 NextWorkerCount)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	42	2	TP_V2_TimerSet(UInt64 DueTime, UInt32 SubQueue, UInt32 Timer, UInt32 Period, UInt32 WindowLength, UInt32 Absolute)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	43	2	TP_V2_TimerCancelled(UInt32 SubQueue, UInt32 Timer)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	44	2	TP_V2_TimerSetNtTimer(UInt64 DueTime, UInt32 SubQueue, UInt32 TolerableDelay)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	45	2	TP_V2_TimerExpirationGroup(UInt32 SubQueue)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	46	2	TP_V2_TimerExpirationGroup(UInt32 SubQueue)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	47	2	TP_V2_TimerExpirationGroup(UInt32 SubQueue)		
Thread Pool	{c861d0e2-a2c1-4d36-9f9c-970bab943a12}	48	2	TP_V2_TimerExpiration(UInt64 DueTime, UInt32 SubQueue, UInt32 Timer, UInt32 Period, UInt32 WindowLength)		
