provider	category	event_id	version	event(fields)	event_type	description
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	10	0	SystemConfig_V0_CPU(UInt32 MHz, UInt32 NumberOfProcessors, UInt32 MemSize, UInt32 PageSize, UInt32 AllocationGranularity, Char16 ComputerName, Char16 DomainName, UInt32 HyperThreadingFlag)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	10	1	SystemConfig_V1_CPU(UInt32 MHz, UInt32 NumberOfProcessors, UInt32 MemSize, UInt32 PageSize, UInt32 AllocationGranularity, Char16 ComputerName, Char16 DomainName, UInt32 HyperThreadingFlag)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	10	2	SystemConfig_V2_CPU(UInt32 MHz, UInt32 NumberOfProcessors, UInt32 MemSize, UInt32 PageSize, UInt32 AllocationGranularity, Char16 ComputerName, Char16 DomainName, UInt32 HyperThreadingFlag)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	10	3	SystemConfig_V3_CPU(UInt32 MHz, UInt32 NumberOfProcessors, UInt32 MemSize, UInt32 PageSize, UInt32 AllocationGranularity, Char16 ComputerName, Char16 DomainName, UInt32 HyperThreadingFlag, UInt32 HighestUserAddress, UInt16 ProcessorArchitecture, UInt16 ProcessorLevel, UInt16 ProcessorRevision, UInt8 PaeEnabled, UInt8 NxEnabled, UInt32 MemorySpeed)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	11	0	SystemConfig_V0_PhyDisk(UInt32 DiskNumber, UInt32 BytesPerSector, UInt32 SectorsPerTrack, UInt32 TracksPerCylinder, UInt64 Cylinders, UInt32 SCSIPort, UInt32 SCSIPath, UInt32 SCSITarget, UInt32 SCSILun, Char16 Manufacturer, UInt32 PartitionCount, UInt8 WriteCacheEnabled, UInt8 Pad, Char16 BootDriveLetter, Char16 Spare)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	11	1	SystemConfig_V1_PhyDisk(UInt32 DiskNumber, UInt32 BytesPerSector, UInt32 SectorsPerTrack, UInt32 TracksPerCylinder, UInt64 Cylinders, UInt32 SCSIPort, UInt32 SCSIPath, UInt32 SCSITarget, UInt32 SCSILun, Char16 Manufacturer, UInt32 PartitionCount, UInt8 WriteCacheEnabled, UInt8 Pad, Char16 BootDriveLetter, Char16 Spare)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	11	2	SystemConfig_V2_PhyDisk(UInt32 DiskNumber, UInt32 BytesPerSector, UInt32 SectorsPerTrack, UInt32 TracksPerCylinder, UInt64 Cylinders, UInt32 SCSIPort, UInt32 SCSIPath, UInt32 SCSITarget, UInt32 SCSILun, Char16 Manufacturer, UInt32 PartitionCount, UInt8 WriteCacheEnabled, UInt8 Pad, Char16 BootDriveLetter, Char16 Spare)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	12	0	SystemConfig_V0_LogDisk(UInt64 StartOffset, UInt64 PartitionSize, UInt32 DiskNumber, UInt32 Size, UInt32 DriveType, Char16 DriveLetterString, UInt32 Pad1, UInt32 PartitionNumber, UInt32 SectorsPerCluster, UInt32 BytesPerSector, UInt32 Pad2, SInt64 NumberOfFreeClusters, SInt64 TotalNumberOfClusters, Char16 FileSystem, UInt32 VolumeExt)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	12	1	SystemConfig_V1_LogDisk(UInt64 StartOffset, UInt64 PartitionSize, UInt32 DiskNumber, UInt32 Size, UInt32 DriveType, Char16 DriveLetterString, UInt32 Pad1, UInt32 PartitionNumber, UInt32 SectorsPerCluster, UInt32 BytesPerSector, UInt32 Pad2, SInt64 NumberOfFreeClusters, SInt64 TotalNumberOfClusters, Char16 FileSystem, UInt32 VolumeExt)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	12	2	SystemConfig_V2_LogDisk(UInt64 StartOffset, UInt64 PartitionSize, UInt32 DiskNumber, UInt32 Size, UInt32 DriveType, Char16 DriveLetterString, UInt32 Pad1, UInt32 PartitionNumber, UInt32 SectorsPerCluster, UInt32 BytesPerSector, UInt32 Pad2, SInt64 NumberOfFreeClusters, SInt64 TotalNumberOfClusters, Char16 FileSystem, UInt32 VolumeExt, UInt32 Pad3)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	13	0	SystemConfig_V0_NIC(Char16 NICName, UInt32 Index, UInt32 PhysicalAddrLen, Char16 PhysicalAddr, UInt32 Size, SInt32 IpAddress, SInt32 SubnetMask, SInt32 DhcpServer, SInt32 Gateway, SInt32 PrimaryWinsServer, SInt32 SecondaryWinsServer, SInt32 DnsServer1, SInt32 DnsServer2, SInt32 DnsServer3, SInt32 DnsServer4, UInt32 Data)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	13	1	SystemConfig_V1_NIC(Char16 NICName, UInt32 Index, UInt32 PhysicalAddrLen, Char16 PhysicalAddr, UInt32 Size, SInt32 IpAddress, SInt32 SubnetMask, SInt32 DhcpServer, SInt32 Gateway, SInt32 PrimaryWinsServer, SInt32 SecondaryWinsServer, SInt32 DnsServer1, SInt32 DnsServer2, SInt32 DnsServer3, SInt32 DnsServer4, UInt32 Data)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	13	2	SystemConfig_V2_NIC(UInt64 PhysicalAddr, UInt32 PhysicalAddrLen, UInt32 Ipv4Index, UInt32 Ipv6Index, String NICDescription, String IpAddresses, String DnsServerAddresses)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	14	0	SystemConfig_V0_Video(UInt32 MemorySize, UInt32 XResolution, UInt32 YResolution, UInt32 BitsPerPixel, UInt32 VRefresh, Char16 ChipType, Char16 DACType, Char16 AdapterString, Char16 BiosString, Char16 DeviceId, UInt32 StateFlags)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	14	1	SystemConfig_V1_Video(UInt32 MemorySize, UInt32 XResolution, UInt32 YResolution, UInt32 BitsPerPixel, UInt32 VRefresh, Char16 ChipType, Char16 DACType, Char16 AdapterString, Char16 BiosString, Char16 DeviceId, UInt32 StateFlags)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	14	2	SystemConfig_V2_Video(UInt32 MemorySize, UInt32 XResolution, UInt32 YResolution, UInt32 BitsPerPixel, UInt32 VRefresh, Char16 ChipType, Char16 DACType, Char16 AdapterString, Char16 BiosString, Char16 DeviceId, UInt32 StateFlags)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	15	0	SystemConfig_V0_Services(Char16 ServiceName, Char16 DisplayName, Char16 ProcessName, UInt32 ProcessId)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	15	1	SystemConfig_V1_Services(Char16 ServiceName, Char16 DisplayName, Char16 ProcessName, UInt32 ProcessId)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	15	2	SystemConfig_V2_Services(UInt32 ProcessId, UInt32 ServiceState, UInt32 SubProcessTag, String ServiceName, String DisplayName, String ProcessName)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	15	3	SystemConfig_V3_Services(UInt32 ProcessId, UInt32 ServiceState, UInt32 SubProcessTag, String ServiceName, String DisplayName, String ProcessName, String LoadOrderGroup, String SvchostGroup)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	16	0	SystemConfig_V0_Power(UInt8 S1, UInt8 S2, UInt8 S3, UInt8 S4, UInt8 S5, UInt8 Pad1, UInt8 Pad2, UInt8 Pad3)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	16	1	SystemConfig_V1_Power(UInt8 S1, UInt8 S2, UInt8 S3, UInt8 S4, UInt8 S5, UInt8 Pad1, UInt8 Pad2, UInt8 Pad3)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	16	2	SystemConfig_V2_Power(UInt8 S1, UInt8 S2, UInt8 S3, UInt8 S4, UInt8 S5, UInt8 Pad1, UInt8 Pad2, UInt8 Pad3)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	17	2	SystemConfig_V2_Network(UInt32 TcbTablePartitions, UInt32 MaxHashTableSize, UInt32 MaxUserPort, UInt32 TcpTimedWaitDelay)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	18	2	SystemConfig_V2_OpticalMedia(UInt16 DiskNumber, UInt16 BusType, UInt16 DeviceType, UInt16 MediaType, UInt64 StartingOffset, UInt64 Size, UInt64 NumberOfFreeBlocks, UInt64 TotalNumberOfBlocks, UInt64 NextWritableAddress, UInt32 NumberOfSessions, UInt32 NumberOfTracks, UInt32 BytesPerSector, UInt16 DiscStatus, UInt16 LastSessionStatus, String DriveLetter, String FileSystemName, String DeviceName, String ManufacturerName)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	21	0	SystemConfig_V0_IRQ(UInt64 IRQAffinity, UInt32 IRQNum, UInt32 DeviceDescriptionLen, String DeviceDescription)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	21	1	SystemConfig_V1_IRQ(UInt64 IRQAffinity, UInt32 IRQNum, UInt32 DeviceDescriptionLen, String DeviceDescription)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	21	2	SystemConfig_V2_IRQ(UInt64 IRQAffinity, UInt32 IRQNum, UInt32 DeviceDescriptionLen, String DeviceDescription)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	21	3	SystemConfig_V3_IRQ(UInt64 IRQAffinity, UInt16 IRQGroup, UInt16 Reserved, UInt32 IRQNum, UInt32 DeviceDescriptionLen, String DeviceDescription)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	22	0	SystemConfig_V0_PnP(UInt32 IDLength, UInt32 DescriptionLength, UInt32 FriendlyNameLength, String DeviceID, String DeviceDescription, String FriendlyName)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	22	1	SystemConfig_V1_PnP(UInt32 IDLength, UInt32 DescriptionLength, UInt32 FriendlyNameLength, String DeviceID, String DeviceDescription, String FriendlyName)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	22	2	SystemConfig_V2_PnP(UInt32 IDLength, UInt32 DescriptionLength, UInt32 FriendlyNameLength, String DeviceID, String DeviceDescription, String FriendlyName)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	22	3	SystemConfig_V3_PnP(UInt32 IDLength, UInt32 DescriptionLength, UInt32 FriendlyNameLength, String DeviceID, String DeviceDescription, String FriendlyName, String PdoName)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	22	4	SystemConfig_V4_PnP(Object ClassGuid, UInt32 UpperFiltersCount, UInt32 LowerFiltersCount, String DeviceID, String DeviceDescription, String FriendlyName, String PdoName, String ServiceName, String UpperFilters, String LowerFilters)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	22	5	SystemConfig_PnP(Object ClassGuid, UInt32 UpperFiltersCount, UInt32 LowerFiltersCount, UInt32 DevStatus, UInt32 DevProblem, String DeviceID, String DeviceDescription, String FriendlyName, String PdoName, String ServiceName, String UpperFilters, String LowerFilters)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	23	2	SystemConfig_V2_IDEChannel(UInt32 TargetId, UInt32 DeviceType, UInt32 DeviceTimingMode, UInt32 LocationInformationLen, String LocationInformation)		
Windows Kernel Trace	{01853a65-418f-4f36-aefc-dc0f1d2fd235}	24	2	SystemConfig_V2_NumaNode(UInt32 NodeCount, UInt64 NodeMap)		
